p,kappa,estimator_variant,r_f_mean,r_f_std,mae_b_mean,mae_b_std,fallback_weight_mean
0.05,2.5,fixed_q_0.2,8.298685670078918,1.598708913850593,0.7814559094916057,0.07171378334449477,
0.05,2.5,fixed_q_0.3,6.3327800843558455,1.1734089142078965,0.4566537562847056,0.07929146792695467,
0.05,2.5,oracle_aqf,3.923414608350272,0.7178421169264263,0.04930501100834563,0.05151655398321567,
0.05,3.0,estimated_aqf,4.857772541069606,1.7847993201111005,0.296821861501532,0.22905211441897333,0.728566514761478
0.05,3.0,fixed_q_0.1,9.687858511780135,2.0659430605019,1.2233118932783889,0.10652495540947594,
0.05,3.0,fixed_q_0.2,7.165659664782007,1.5994049129347216,0.7844629079784208,0.08377288031564385,
0.05,3.0,fixed_q_0.3,5.570606318967991,1.264415082459567,0.4705658348456695,0.09040522709220926,
0.05,3.0,oracle_aqf,3.525645644930821,0.7511161856872495,0.06729958309062374,0.054464634745907604,
0.05,3.5,estimated_aqf,4.0745328152699205,2.183072093261188,0.16698335843147225,0.2191966208794438,0.8946672301626372
0.05,3.5,fixed_q_0.1,8.968297026157716,2.8759832518201898,1.2654813516922077,0.10239617474036945,
0.05,3.5,fixed_q_0.2,6.622592089785913,2.0835908768544797,0.8107762940388653,0.07139571553221297,
0.05,3.5,fixed_q_0.3,5.147321304217463,1.5347477434902792,0.48822490192768003,0.05635204934573264,
0.05,3.5,oracle_aqf,3.360031724544791,0.9720957152722172,0.049173418287844585,0.04273912767038531,
0.05,4.0,estimated_aqf,3.5039679165865203,1.227950596211379,0.11132122732710181,0.17466065523690022,0.9326962239470129
0.05,4.0,fixed_q_0.1,8.324981637184461,1.728921041015185,1.2634183289713943,0.0947991655713483,
0.05,4.0,fixed_q_0.2,6.2598686312647365,1.2802072091870333,0.8248018805621875,0.08354977411544716,
0.05,4.0,fixed_q_0.3,4.873602821664631,1.0260951018555358,0.48965941053604445,0.08109391113227249,
0.05,4.0,oracle_aqf,3.2048569221013103,0.5799426597521515,0.05856005251127616,0.04278725311789075,
0.05,4.5,estimated_aqf,2.7850352914954013,0.40648261669558605,0.049413054999944084,0.033597945229910664,1.0
0.05,4.5,fixed_q_0.1,7.1241690664139,1.4883477562499585,1.2408335965167543,0.07984101503198966,
0.05,4.5,fixed_q_0.2,5.332397071146307,1.0319088389879634,0.8025353117497721,0.0706298569761564,
0.05,4.5,fixed_q_0.3,4.177244750638101,0.7439756730511979,0.4827883058716941,0.06940126889378641,
0.05,4.5,oracle_aqf,2.806293742682194,0.4597070585296379,0.0580748947476339,0.04251877309162117,
0.05,5.0,estimated_aqf,2.604519380818339,0.5521030305412513,0.05027099922638767,0.03436994948098068,1.0
0.05,5.0,fixed_q_0.1,6.531996920726667,1.86115296602668,1.2642723121558068,0.09363173515931847,
0.05,5.0,fixed_q_0.2,4.874527449142588,1.2829223947729138,0.806744601576806,0.06431865480200967,
0.05,5.0,fixed_q_0.3,3.873316435502448,0.9234569776874749,0.49368507429070546,0.058234509168354216,
0.05,5.0,oracle_aqf,2.6128509746005735,0.5982160928890297,0.053123062194566285,0.03842807265928844,
0.15,0.5,estimated_aqf,11.226717624690306,1.0137034213311127,0.6363201487135723,0.06983645110450443,0.5859978157525052
0.15,0.5,fixed_q_0.1,17.821301561979155,1.7862743764372282,1.2284726357051494,0.09726975493531369,
0.15,0.5,fixed_q_0.2,12.634580382718033,1.2642679647174966,0.7721385670318985,0.07331399786545298,
0.15,0.5,fixed_q_0.3,9.613862324645721,0.9383982839562411,0.4691124075759297,0.06641704365580513,
0.15,0.5,oracle_aqf,5.821740531363106,0.6590130854045014,0.04416832894393652,0.03912688407324528,
0.15,1.0,estimated_aqf,5.748114029090834,0.8481650326868407,0.532768771610941,0.10048632497057589,0.5632553563919198
0.15,1.0,fixed_q_0.1,9.520609609351183,1.4324360950947161,1.1951961168001535,0.09757682083764596,
0.15,1.0,fixed_q_0.2,6.807898767170235,0.8397042421058146,0.7352418063020665,0.07116548377856834,
0.15,1.0,fixed_q_0.3,5.108046449662018,0.6799910401855724,0.4037465931811301,0.07551302571661439,
0.15,1.0,oracle_aqf,3.433770132825425,0.4148291491142378,0.045510754475076444,0.043967745506837644,
0.15,1.5,estimated_aqf,4.090585323053516,0.47240065238208895,0.49668870146292043,0.07928823591211678,0.5856505926729406
0.15,1.5,fixed_q_0.1,6.628839693616579,0.6434799602780622,1.1754497668416257,0.06625896367362953,
0.15,1.5,fixed_q_0.2,4.876256573372811,0.5060936016257114,0.7229635777819728,0.07899688373783208,
0.15,1.5,fixed_q_0.3,3.7607928760171854,0.35867738357910794,0.397107341851559,0.0598931362072062,
0.15,1.5,oracle_aqf,2.6229408744783997,0.23637092855809247,0.042752247255496464,0.02920764516715686,
0.15,2.0,estimated_aqf,3.078237926856534,0.42731402917246963,0.3779467942381579,0.12587832799982382,0.6788487986597115
0.15,2.0,fixed_q_0.1,5.393058126827176,0.6197878717096938,1.1920250104627503,0.07419612587296258,
0.15,2.0,fixed_q_0.2,4.009026514442806,0.48939409212419066,0.7318943318523987,0.0628549217365056,
0.15,2.0,fixed_q_0.3,3.13484860271812,0.366265966749449,0.4035558172900989,0.05613001482192699,
0.15,2.0,oracle_aqf,2.286484969360198,0.28722383258373924,0.06502824231003732,0.040312065520424226,
0.15,2.5,estimated_aqf,2.263966157522961,0.3660124658423896,0.18239320468353154,0.12718086790100783,0.8384265675569885
0.15,2.5,fixed_q_0.1,4.399507171392108,0.54356036261,1.1640977619232136,0.08208174153191625,
0.15,2.5,fixed_q_0.2,3.314967529413123,0.38028338536195044,0.7071767404428264,0.08292927764486338,
0.15,2.5,fixed_q_0.3,2.619270902733608,0.30408708450603344,0.3725807275472774,0.07544345116934723,
0.15,2.5,oracle_aqf,1.9701892475172211,0.22870488524510993,0.0582107248419141,0.033887201786270534,
0.15,3.0,estimated_aqf,1.8823388785865312,0.20031672975108109,0.09587811399279014,0.07506063063621986,0.9564439503867878
0.15,3.0,fixed_q_0.1,3.8887851083098637,0.45325235309667017,1.2077661349874809,0.1030224477591247,
0.15,3.0,fixed_q_0.2,2.969028206873037,0.3322995421133917,0.7384374890767927,0.08454423403696094,
0.15,3.0,fixed_q_0.3,2.3800051907066693,0.2606300306192317,0.39869459386800543,0.08843916372600275,
0.15,3.0,oracle_aqf,1.8185163066833738,0.17858026855160192,0.06939135786217854,0.05387261087889822,
0.15,3.5,estimated_aqf,1.6097569545237094,0.13347910410282524,0.05355971972797269,0.03601934934680963,1.0
