scenario_id,p,kappa,replicate,estimator_variant,q_used,backbone_hat,r_f,mae_b,p_hat,kappa_hat,d_hat,fallback_weight
p00_k00,0.05,0.5,0,fixed_q_0.1,0.1,8.599467863513764,78.58030001195047,1.4005321364862358,,,,
p00_k00,0.05,0.5,0,fixed_q_0.2,0.2,9.112216704681622,53.825239369604816,0.8877832953183784,,,,
p00_k00,0.05,0.5,0,fixed_q_0.3,0.3,9.457449330130343,39.358015550144586,0.5425506698696569,,,,
p00_k00,0.05,0.5,0,oracle_aqf,0.4904268769362993,9.916225211837109,23.7728901105848,0.08377478816289141,,,,
p00_k00,0.05,0.5,0,estimated_aqf,0.23882819298976074,9.217307571553993,49.216589400245645,0.7826924284460066,0.5207062451443549,1.570321177241364,1.110384753068211,0.5551923765341055
p00_k00,0.05,0.5,1,fixed_q_0.1,0.1,8.761671288045974,55.39280111268427,1.2383287119540256,,,,
p00_k00,0.05,0.5,1,fixed_q_0.2,0.2,9.106441324540727,42.74660573595329,0.893558675459273,,,,
p00_k00,0.05,0.5,1,fixed_q_0.3,0.3,9.451804745864504,31.646848411662184,0.5481952541354964,,,,
p00_k00,0.05,0.5,1,oracle_aqf,0.4904268769362993,9.978093652911358,18.17883619240863,0.02190634708864181,,,,
p00_k00,0.05,0.5,1,estimated_aqf,0.2464241096713471,9.283853624423184,36.847929624492124,0.716146375576816,0.4895854424685864,1.5901462264649093,1.1244031798115368,0.5622015899057684
p00_k00,0.05,0.5,2,fixed_q_0.1,0.1,8.822687507545002,56.96360554954704,1.1773124924549982,,,,
p00_k00,0.05,0.5,2,fixed_q_0.2,0.2,9.285921378045021,40.01835617460851,0.7140786219549788,,,,
p00_k00,0.05,0.5,2,fixed_q_0.3,0.3,9.537256898774062,31.878260290492744,0.46274310122593754,,,,
p00_k00,0.05,0.5,2,oracle_aqf,0.4904268769362993,10.076827730345752,17.545597858720978,0.07682773034575163,,,,
p00_k00,0.05,0.5,2,estimated_aqf,0.23903682169142462,9.396790148552931,36.29413586280161,0.603209851447069,0.5129347424561238,1.985133147938774,1.403701110465705,0.7018505552328524
p00_k00,0.05,0.5,3,fixed_q_0.1,0.1,8.721790221626748,53.69898851777131,1.2782097783732524,,,,
p00_k00,0.05,0.5,3,fixed_q_0.2,0.2,9.21020271134816,37.616574713256156,0.7897972886518403,,,,
p00_k00,0.05,0.5,3,fixed_q_0.3,0.3,9.481869582966155,29.76901520491133,0.518130417033845,,,,
p00_k00,0.05,0.5,3,oracle_aqf,0.4904268769362993,10.060429104107921,16.40301424785045,0.06042910410792146,,,,
p00_k00,0.05,0.5,3,estimated_aqf,0.24854606206737018,9.361371683577605,33.11668856812413,0.6386283164223947,0.4812727799479065,1.4834451888914584,1.048954152583709,0.5244770762918545
p00_k00,0.05,0.5,4,fixed_q_0.1,0.1,8.820267990749725,75.81527293541338,1.1797320092502748,,,,
p00_k00,0.05,0.5,4,fixed_q_0.2,0.2,9.187194819926217,56.729096430933,0.8128051800737826,,,,
p00_k00,0.05,0.5,4,fixed_q_0.3,0.3,9.445004781871477,45.06981786875932,0.5549952181285231,,,,
p00_k00,0.05,0.5,4,oracle_aqf,0.4904268769362993,9.960119392088929,25.795971959547614,0.03988060791107095,,,,
p00_k00,0.05,0.5,4,estimated_aqf,0.24804735969633898,9.28552223068938,52.088328209554675,0.7144777693106192,0.4836140321270147,1.4608161507657675,1.032953006273304,0.516476503136652
p00_k00,0.05,0.5,5,fixed_q_0.1,0.1,8.551314641034395,42.69456967162614,1.448685358965605,,,,
p00_k00,0.05,0.5,5,fixed_q_0.2,0.2,9.107159767180985,28.791188367121414,0.8928402328190153,,,,
p00_k00,0.05,0.5,5,fixed_q_0.3,0.3,9.449978049481333,21.304077702063438,0.5500219505186674,,,,
p00_k00,0.05,0.5,5,oracle_aqf,0.4904268769362993,10.018820764090327,11.088096116830041,0.018820764090326847,,,,
p00_k00,0.05,0.5,5,estimated_aqf,0.2109546069493134,9.146982816343757,27.866999443709027,0.8530171836562435,0.6151367559602502,1.7354910463158246,1.2271774875384562,0.6135887437692281
p00_k00,0.05,0.5,6,fixed_q_0.1,0.1,8.783479650985125,52.2680671950417,1.2165203490148748,,,,
p00_k00,0.05,0.5,6,fixed_q_0.2,0.2,9.29703151497371,35.486787676551614,0.7029684850262896,,,,
p00_k00,0.05,0.5,6,fixed_q_0.3,0.3,9.625870459590717,25.98940515566999,0.3741295404092835,,,,
